epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.2702,1.54929,3.91397,1.7939,0,0,0,0,1.78941,4.24375,2.58107,1.578e-05,1.578e-05,1.578e-05
2,80.5935,1.56554,3.91184,1.7775,0,0,0,0,1.80494,4.22679,2.52906,3.64555e-05,3.64555e-05,3.64555e-05
3,115.466,1.39391,3.83741,1.73147,0,0,0,0,1.77925,4.21077,2.53123,5.67144e-05,5.67144e-05,5.67144e-05
4,146.739,1.32177,3.80171,1.65747,0,0,0,0,1.75829,4.25517,2.30148,7.65567e-05,7.65567e-05,7.65567e-05
5,181.681,1.30202,3.80009,1.58842,0,0,0,0,1.79511,4.26668,2.31919,9.59824e-05,9.59824e-05,9.59824e-05
6,218.428,1.2871,3.75787,1.57257,0,0,0,0,1.78996,4.22928,2.30734,0.000114991,0.000114991,0.000114991
7,256.213,1.20036,3.66471,1.48903,0,0,0,0,1.74304,4.26341,2.32995,0.000133584,0.000133584,0.000133584
8,290.769,1.19817,3.60626,1.47812,0,0,0,0,1.70042,4.35782,2.30534,0.00015176,0.00015176,0.00015176
9,329.151,1.17495,3.49637,1.45264,0,0,0,0,1.6954,4.38664,2.29001,0.000169519,0.000169519,0.000169519
10,369.292,1.12146,3.40492,1.48164,0,0,0,0,1.82613,4.38222,2.39162,0.000186862,0.000186862,0.000186862
11,409.224,1.08743,3.34827,1.43955,0,0,0,0,1.75534,4.40084,2.59977,0.000203788,0.000203788,0.000203788
12,442.579,1.115,3.23401,1.44866,0,0,0,0,1.74306,4.41264,2.68773,0.000220298,0.000220298,0.000220298
13,484.196,1.07832,3.2479,1.43097,0,0,0,0,1.75498,4.37789,2.54376,0.000236391,0.000236391,0.000236391
14,517.068,1.06941,3.09188,1.43654,0,0,0,0,1.71242,4.37761,2.48336,0.000252067,0.000252067,0.000252067
15,551.561,1.03612,3.02163,1.3818,0,0,0,0,1.63761,4.4735,2.50783,0.000267327,0.000267327,0.000267327
16,587.909,1.0295,2.928,1.35949,0,0,0,0,1.77526,4.47527,2.60004,0.00028217,0.00028217,0.00028217
17,629.484,1.03058,2.86976,1.35636,0,0,0,0,1.84722,4.61389,2.82471,0.000296597,0.000296597,0.000296597
18,669.219,1.01661,2.7334,1.39222,0,0,0,0,1.93303,4.51602,3.058,0.000310607,0.000310607,0.000310607
19,699.459,1.03144,2.67024,1.38839,0,0,0,0,1.90278,4.51239,3.02053,0.0003242,0.0003242,0.0003242
20,730.899,1.04017,2.62486,1.39291,0,0,0,0,1.90231,4.49976,2.86786,0.000337377,0.000337377,0.000337377
21,760.514,1.07553,2.4847,1.36473,0,0,0,0,1.81862,4.52958,2.88429,0.000350137,0.000350137,0.000350137
22,787.22,0.99982,2.46029,1.34959,0,0,0,0,1.79786,4.58797,2.88385,0.000362481,0.000362481,0.000362481
23,812.689,0.97883,2.26669,1.32389,0,0,0,0,1.81176,4.63638,2.80809,0.000374408,0.000374408,0.000374408
24,838.586,1.00801,2.29515,1.38137,0.1,0.16667,0.20067,0.02007,1.83367,4.51988,2.79289,0.000385918,0.000385918,0.000385918
25,868.757,0.92187,2.10295,1.30407,0.08333,0.16667,0.19514,0.01951,1.7622,4.49353,2.66043,0.000397012,0.000397012,0.000397012
26,902.568,0.96505,2.08774,1.30799,0.1,0.16667,0.20067,0.02007,1.84421,4.51369,2.69982,0.000395815,0.000395815,0.000395815
27,951.147,0.97272,2.09918,1.33125,0.08333,0.33333,0.22867,0.04793,1.88984,4.6554,2.78366,0.000390608,0.000390608,0.000390608
28,1002.85,0.92592,1.99348,1.30736,0.08333,0.33333,0.23652,0.0269,1.87269,4.73806,2.71059,0.0003854,0.0003854,0.0003854
29,1047.87,0.89537,1.85162,1.30169,0.07692,0.33333,0.21345,0.04239,1.93318,4.72538,2.74876,0.000380193,0.000380193,0.000380193
30,1105.82,0.96861,1.83373,1.33341,0.08333,0.33333,0.21819,0.06177,1.94845,4.75786,2.65978,0.000374985,0.000374985,0.000374985
31,1159.77,0.92156,1.86758,1.28783,0.0625,0.33333,0.10302,0.03153,1.95585,4.80038,2.73991,0.000369778,0.000369778,0.000369778
32,1214.2,0.95474,1.84292,1.32379,0.08333,0.5,0.166,0.04441,1.83082,4.87666,2.67131,0.000364571,0.000364571,0.000364571
33,1256.8,0.90459,1.69087,1.3052,0.09375,0.5,0.20433,0.06256,1.70904,5.06598,2.58959,0.000359363,0.000359363,0.000359363
34,1301.26,0.96839,1.65003,1.36838,0.08824,0.5,0.17375,0.05546,1.57112,5.01324,2.38041,0.000354156,0.000354156,0.000354156
35,1340.79,0.92569,1.66932,1.26158,0.1,0.5,0.24875,0.07313,1.54333,4.76185,2.44779,0.000348948,0.000348948,0.000348948
36,1375.63,0.88028,1.60458,1.26613,0.07895,0.5,0.32067,0.09266,1.40016,4.56602,2.40381,0.000343741,0.000343741,0.000343741
37,1405.81,0.9037,1.57752,1.27663,0.08333,0.5,0.37313,0.08776,1.46597,4.56274,2.562,0.000338534,0.000338534,0.000338534
38,1435.94,0.92475,1.53058,1.2699,0.06818,0.5,0.37313,0.09483,1.38427,4.54238,2.45391,0.000333326,0.000333326,0.000333326
39,1481.66,0.85896,1.54842,1.30166,0.06818,0.5,0.45625,0.12607,1.29008,4.61738,2.28977,0.000328119,0.000328119,0.000328119
40,1520.33,0.87577,1.49207,1.23983,0.0625,0.5,0.45625,0.12409,1.29937,4.59974,2.2415,0.000322911,0.000322911,0.000322911
41,1560.76,0.81975,1.42928,1.22345,0.07895,0.5,0.45625,0.1283,1.33459,4.62205,2.2703,0.000317704,0.000317704,0.000317704
42,1594.77,0.80808,1.44829,1.23754,0.08333,0.5,0.45625,0.11857,1.49128,4.60515,2.35607,0.000312497,0.000312497,0.000312497
43,1632.72,0.76953,1.36045,1.20577,0.08824,0.5,0.29125,0.10096,1.66386,4.59236,2.41776,0.000307289,0.000307289,0.000307289
44,1668.87,0.79667,1.35212,1.21327,0.11538,0.5,0.25589,0.08926,1.61521,4.49863,2.44181,0.000302082,0.000302082,0.000302082
45,1710.7,0.81647,1.4717,1.21508,0.12179,0.83333,0.22385,0.09665,1.51535,4.65794,2.4584,0.000296874,0.000296874,0.000296874
46,1756.33,0.86297,1.40041,1.24446,0.02941,0.16667,0.04325,0.00433,1.58439,4.53927,2.45438,0.000291667,0.000291667,0.000291667
47,1793.42,0.80148,1.29322,1.21997,0.03333,0.5,0.24875,0.12437,1.6239,4.53138,2.4139,0.00028646,0.00028646,0.00028646
48,1831.4,0.78026,1.29431,1.20399,0.05322,0.66667,0.25831,0.13649,1.48649,4.48827,2.34658,0.000281252,0.000281252,0.000281252
49,1870.03,0.75776,1.23923,1.19586,0.09454,0.83333,0.37794,0.13357,1.38785,4.52444,2.3397,0.000276045,0.000276045,0.000276045
50,1908.2,0.70185,1.2338,1.1293,0.09007,0.83333,0.38067,0.13576,1.29281,4.43612,2.28251,0.000270837,0.000270837,0.000270837
51,1952.09,0.71378,1.17471,1.15079,0.1299,1,0.40167,0.1888,1.23184,4.4732,2.28253,0.00026563,0.00026563,0.00026563
52,1989.65,0.6413,1.12189,1.11688,0.12395,1,0.47259,0.20096,1.25945,4.56,2.25467,0.000260423,0.000260423,0.000260423
53,2020.09,0.67219,1.13446,1.10005,0.1,0.5,0.32067,0.08471,1.27702,4.61236,2.2217,0.000255215,0.000255215,0.000255215
54,2052.93,0.64428,1.07861,1.11148,0.1,0.5,0.3765,0.0955,1.26728,4.61299,2.15296,0.000250008,0.000250008,0.000250008
55,2085.68,0.70799,1.16908,1.13155,0.10132,1,0.37585,0.10701,1.23127,4.56065,2.11416,0.0002448,0.0002448,0.0002448
56,2111.8,0.68171,1.16218,1.11642,0.11275,1,0.61425,0.23876,1.1708,4.5533,2.09355,0.000239593,0.000239593,0.000239593
57,2137.78,0.74867,1.14066,1.15846,0.12157,1,0.465,0.19606,1.09465,4.52741,2.04197,0.000234386,0.000234386,0.000234386
58,2166.89,0.66765,1.06319,1.11614,0.13221,1,0.37773,0.15242,1.10595,4.52248,2.01258,0.000229178,0.000229178,0.000229178
59,2199.31,0.63102,1.1352,1.14437,0.18636,1,0.45688,0.18055,1.14981,4.56588,2.05018,0.000223971,0.000223971,0.000223971
60,2233.89,0.66726,1.10426,1.14926,0.2197,1,0.45688,0.13376,1.23987,4.61845,2.12588,0.000218763,0.000218763,0.000218763
61,2266.19,0.65478,1.04501,1.13695,0.19872,1,0.4265,0.15643,1.39245,4.66986,2.33363,0.000213556,0.000213556,0.000213556
62,2296.7,0.66052,1.01761,1.10465,0.17143,0.83333,0.46016,0.14086,1.54612,4.65092,2.49157,0.000208349,0.000208349,0.000208349
63,2323.54,0.66894,1.15767,1.13643,0.27083,1,0.50521,0.1184,1.62118,4.6161,2.61144,0.000203141,0.000203141,0.000203141
64,2349.48,0.62906,1.02832,1.09276,0.27083,1,0.40792,0.15082,1.62292,4.67117,2.68855,0.000197934,0.000197934,0.000197934
